SpeedItem [upload=false, thread=0, time=2541633041, bytes=1873304]
SpeedItem [upload=false, thread=0, time=2554719322, bytes=1898168]
SpeedItem [upload=false, thread=0, time=2590719929, bytes=1913848]
SpeedItem [upload=false, thread=0, time=2603834104, bytes=1939912]
SpeedItem [upload=false, thread=0, time=2639849040, bytes=1954392]
SpeedItem [upload=false, thread=0, time=2652819001, bytes=1979256]
SpeedItem [upload=false, thread=0, time=2688914526, bytes=1997832]
SpeedItem [upload=false, thread=0, time=2701861816, bytes=2021000]
SpeedItem [upload=false, thread=0, time=2737949265, bytes=2037176]
SpeedItem [upload=false, thread=0, time=2750861251, bytes=2061544]
SpeedItem [upload=false, thread=0, time=2787085294, bytes=2081816]
SpeedItem [upload=false, thread=0, time=2799863901, bytes=2102088]
SpeedItem [upload=false, thread=0, time=2836053326, bytes=2122608]
SpeedItem [upload=false, thread=0, time=2848799192, bytes=2142632]
SpeedItem [upload=false, thread=0, time=2885114935, bytes=2167496]
SpeedItem [upload=false, thread=0, time=2897861179, bytes=2186072]
SpeedItem [upload=false, thread=0, time=2934126218, bytes=2209240]
SpeedItem [upload=false, thread=0, time=2946779897, bytes=2226864]
SpeedItem [upload=false, thread=0, time=2983206969, bytes=2252680]
SpeedItem [upload=false, thread=0, time=2995845540, bytes=2272952]
SpeedItem [upload=false, thread=0, time=3032414904, bytes=2296120]
SpeedItem [upload=false, thread=0, time=3045304271, bytes=2315192]
SpeedItem [upload=false, thread=0, time=3081587288, bytes=2339560]
SpeedItem [upload=false, thread=0, time=3094443836, bytes=2358632]
SpeedItem [upload=false, thread=0, time=3130742777, bytes=2383000]
SpeedItem [upload=false, thread=0, time=3144370921, bytes=2400624]
SpeedItem [upload=false, thread=0, time=3179929425, bytes=2426440]
SpeedItem [upload=false, thread=0, time=3193545541, bytes=2446960]
SpeedItem [upload=false, thread=0, time=3229775163, bytes=2472776]
SpeedItem [upload=false, thread=0, time=3242605502, bytes=2494744]
SpeedItem [upload=false, thread=0, time=3278824274, bytes=2516464]
SpeedItem [upload=false, thread=0, time=3328925107, bytes=2529496]
SpeedItem [upload=false, thread=0, time=3340603206, bytes=2533592]
SpeedItem [upload=false, thread=0, time=3377044474, bytes=2587416]
SpeedItem [upload=false, thread=0, time=3389718094, bytes=2603096]
SpeedItem [upload=false, thread=0, time=3426164908, bytes=2620472]
SpeedItem [upload=false, thread=0, time=3439582704, bytes=2637848]
SpeedItem [upload=false, thread=0, time=3475113558, bytes=2652576]
SpeedItem [upload=false, thread=0, time=3488710551, bytes=2672600]
SpeedItem [upload=false, thread=0, time=3524279323, bytes=2689976]
SpeedItem [upload=false, thread=0, time=3537808942, bytes=2707352]
SpeedItem [upload=false, thread=0, time=3573428979, bytes=2724728]
SpeedItem [upload=false, thread=0, time=3586891029, bytes=2745000]
SpeedItem [upload=false, thread=0, time=3622888470, bytes=2762376]
SpeedItem [upload=false, thread=0, time=3635829075, bytes=2781448]
SpeedItem [upload=false, thread=0, time=3671794943, bytes=2798824]
SpeedItem [upload=false, thread=0, time=3685065025, bytes=2817400]
SpeedItem [upload=false, thread=0, time=3720976084, bytes=2836472]
SpeedItem [upload=false, thread=0, time=3734360703, bytes=2855048]
SpeedItem [upload=false, thread=0, time=3770211570, bytes=2875320]
SpeedItem [upload=false, thread=0, time=3783622958, bytes=2892696]
SpeedItem [upload=false, thread=0, time=3819593727, bytes=2912968]
SpeedItem [upload=false, thread=0, time=3832679258, bytes=2930344]
SpeedItem [upload=false, thread=0, time=3868867611, bytes=2950616]
SpeedItem [upload=false, thread=0, time=3881781529, bytes=2969688]
SpeedItem [upload=false, thread=0, time=3917933326, bytes=2989960]
